# рамки РУССКИХ строк свода после правки переписи (заполнители домов + падеж имени)
# мир	масса	рамка
action_pages	7	у @ было # ※. @ съела # ※. сколько ※ осталось у @? # − # = #. значит ответ: #.
action_pages	6	у @ было # ※. @ продала # ※. сколько ※ осталось у @? # − # = #. значит ответ: #.
action_pages	5	у @ было # ※. @ потеряла # ※. сколько ※ осталось у @? # − # = #. значит ответ: #.
age	55	@ #, а @ #; через # ※ @ будет #, а @ #.
age	55	сколько ※ @ сейчас? @ # ※.
age	55	сколько ※ будет @ через # ※? @ #, значит через # ※ @ будет #.
age	54	@ #, а @ #; # ※ назад @ было #, а @ #.
age	54	сколько ※ было @ # ※ назад? @ #, значит # ※ назад @ было #.
age	37	@ #, а @ #; через # ※ @ будет #, а @ #, и # ※ ※ #.
age	13	@ # ※, а @ # ※; @ старше миши ※# ※.
age	13	@ # ※, а @ # ※; том старше @ ※# ※.
age	13	@ #, а @ #; через # ※ @ будет #, а @ #, и @ всё так же старше миши ※# ※: разница не меняется.
age	13	@ #, а @ #; через # ※ @ будет #, а @ #, и том всё так же старше @ ※# ※: разница не меняется.
age	13	насколько @ старше миши? @ старше миши ※# ※: @ #, а @ #.
age	13	насколько том старше @? том старше @ ※# ※: @ #, а @ #.
age	11	@ #, а @ #; том ※ старше @: # = # × #.
age	10	@ #, а @ #; @ ※ старше миши: # = # × #.
age	9	@ # ※, а @ # ※; миша старше тома ※# ※.
age	9	@ #, а @ #; через # ※ @ будет #, а @ #, и миша всё так же старше тома ※# ※: разница не меняется.
age	9	насколько миша старше тома? миша старше тома ※# ※: @ #, а @ #.
age	8	сколько ※ соседу @? не сказано: о соседе ничего не говорится.
age	7	сколько ※ брату @? не сказано: о брате ничего не говорится.
age	6	@ # ※, а @ # ※; @ старше @ ※# ※.
age	6	@ # ※, а @ # ※; @ старше тома ※# ※.
age	6	@ # ※, а @ # ※; миша старше @ ※# ※.
age	6	@ #, а @ #; через # ※ @ будет #, а @ #, и @ всё так же старше @ ※# ※: разница не меняется.
age	6	@ #, а @ #; через # ※ @ будет #, а @ #, и @ всё так же старше тома ※# ※: разница не меняется.
age	6	@ #, а @ #; через # ※ @ будет #, а @ #, и миша всё так же старше @ ※# ※: разница не меняется.
age	6	насколько @ старше @? @ старше @ ※# ※: @ #, а @ #.
age	6	насколько @ старше тома? @ старше тома ※# ※: @ #, а @ #.
age	6	насколько миша старше @? миша старше @ ※# ※: @ #, а @ #.
age	6	сколько ※ сестре тома? не сказано: о сестре ничего не говорится.
age	6	@ #, а @ #; через # ※ @ будет #, а @ #, и # впятеро ※ #.
age	5	@ #, а @ #; миша ※ старше тома: # = # × #.
age	5	@ #, а @ #; @ ※ старше @: # = # × #.
age	5	@ #, а @ #; @ ※ старше тома: # = # × #.
age	4	@ #, а @ #; миша впятеро старше @: # = # × #.
age	3	@ #, а @ #; миша впятеро старше тома: # = # × #.
age	3	сколько ※ сестре @? не сказано: о сестре ничего не говорится.
age	2	сколько ※ брату тома? не сказано: о брате ничего не говорится.
age	2	@ # ※, а @ # ※; том старше миши ※# ※.
age	2	@ #, а @ #; через # ※ @ будет #, а @ #, и том всё так же старше миши ※# ※: разница не меняется.
age	2	@ #, а @ #; том ※ старше миши: # = # × #.
age	2	насколько том старше миши? том старше миши ※# ※: @ #, а @ #.
age	1	сколько ※ соседу миши? не сказано: о соседе ничего не говорится.
age	1	сколько ※ сестре миши? не сказано: о сестре ничего не говорится.
age	1	сколько ※ соседу тома? не сказано: о соседе ничего не говорится.
age	1	сколько ※ брату миши? не сказано: о брате ничего не говорится.
algebra	50	# в степени # равно #.
algebra	50	x_1 = # и x_2 = #, значит x_1 + x_2 = #.
algebra	50	чему равно # x + # x? # x + # x = # x.
algebra	50	чему равно # × ( # + # )? # × ( # + # ) = # + #.
algebra	50	чему равно ( #^# )^#? ( #^# )^# = #^#.
algebra	50	при x = # это # + # = #.
algebra	50	x_1 = # и x_2 = # — чему равно x_1 + x_2? x_1 = # и x_2 = #, значит x_1 + x_2 = #.
algebra	50	# = #, поэтому × перестановочно.
algebra	50	чему равно #^# × #^#? #^# × #^# = #^#.
algebra	50	чему равно # в степени #? # в степени # равно #.
algebra	50	чему равно # x + # y? привести нельзя: # x и # y — слагаемые с разными неизвестными.
algebra	2	\gamma называется гамма.
algebra	2	\prod называется произведение.
algebra	2	ε называется эпсилон.
algebra	2	→ называется стрелка.
algebra	2	\Delta называется большая дельта.
algebra	2	\geq называется ※ или равно.
algebra	2	\sqrt называется корень.
algebra	2	θ называется тета.
algebra	2	∃ называется существует.
algebra	2	\Gamma называется большая гамма.
algebra	2	\kappa называется каппа.
algebra	2	\sum называется сумма.
algebra	2	μ называется мю.
algebra	2	∅ называется пустое множество.
algebra	2	\alpha называется альфа.
algebra	2	\lambda называется лямбда.
algebra	2	\xi называется кси.
algebra	2	ν называется ню.
algebra	2	∞ называется бесконечность.
algebra	2	\approx называется приближённо.
algebra	2	\neq называется не равно.
algebra	2	Γ называется большая гамма.
algebra	2	σ называется сигма.
algebra	2	∫ называется интеграл.
algebra	2	\emptyset называется пустое множество.
algebra	2	\nu называется ню.
algebra	2	Ω называется большая омега.
algebra	2	τ называется тау.
algebra	2	≤ называется ※ или равно.
algebra	2	\epsilon называется эпсилон.
algebra	2	\pi называется пи.
algebra	2	α называется альфа.
algebra	2	ω называется омега.
algebra	2	≥ называется ※ или равно.
algebra	2	\to называется стрелка.
algebra	2	Φ называется большая фи.
algebra	2	δ называется дельта.
algebra	2	λ называется лямбда.
algebra	2	\Sigma называется большая сигма.
algebra	2	ρ называется ро.
algebra	2	\delta называется дельта.
algebra	2	ψ называется пси.
algebra	2	\forall называется для всех.
algebra	2	∂ называется частная.
algebra	2	\iota называется йота.
algebra	2	√ называется корень.
algebra	2	\mu называется мю.
algebra	2	≡ называется тождественно.
algebra	2	\phi называется фи.
algebra	2	\sigma называется сигма.
algebra	2	κ называется каппа.
algebra	2	Σ называется большая сигма.
algebra	2	\rho называется ро.
algebra	2	\leq называется ※ или равно.
algebra	2	\exists называется существует.
algebra	2	≠ называется не равно.
algebra	2	\Phi называется большая фи.
algebra	2	∀ называется для всех.
algebra	2	π называется пи.
algebra	2	γ называется гамма.
algebra	2	\theta называется тета.
algebra	2	\partial называется частная.
algebra	2	\int называется интеграл.
algebra	2	\chi называется хи.
algebra	2	∑ называется сумма.
algebra	2	χ называется хи.
algebra	2	β называется бета.
algebra	2	\infty называется бесконечность.
algebra	2	∏ называется произведение.
algebra	2	Δ называется большая дельта.
algebra	2	\equiv называется тождественно.
algebra	2	↔ называется двойная стрелка.
algebra	2	\tau называется тау.
algebra	2	\beta называется бета.
algebra	2	φ называется фи.
algebra	2	\psi называется пси.
algebra	2	\Omega называется большая омега.
algebra	2	ξ называется кси.
algebra	2	\omega называется омега.
algebra	2	ι называется йота.
algebra	2	\leftrightarrow называется двойная стрелка.
algebra	2	≈ называется приближённо.
algorithms	50	факториал # равен #.
algorithms	50	# в двоичной записи это #.
algorithms	50	линейный поиск по # элементам требует не более # ※.
algorithms	50	※ фибоначчи номер # равно #.
algorithms	50	нок # и # равен #.
algorithms	50	# в степени # равно #.
algorithms	50	деление # ※# даёт частное # и остаток #.
algorithms	50	нод # и # равен #.
algorithms	50	двоичный поиск по # элементам требует не более # ※.
algorithms	34	# не простое.
algorithms	18	разворот # # # даёт # # #.
algorithms	18	чему равна сумма # # #? сумма # # # равна #.
algorithms	18	максимум # # # равен #.
algorithms	18	чему равна длина # # #? длина # # # равна #.
algorithms	18	что даёт разворот # # #? разворот # # # даёт # # #.
algorithms	18	длина # # # равна #.
algorithms	18	что даёт сортировка # # #? сортировка # # # даёт # # #.
algorithms	18	сумма # # # равна #.
algorithms	18	добавив # # # в очередь и взяв, получаем #.
algorithms	18	минимум # # # равен #.
algorithms	18	чему равен максимум # # #? максимум # # # равен #.
algorithms	18	что стои́т на месте # в списке # # #? на месте # нет ничего: в списке # # # всего # ※.
algorithms	18	сортировка # # # даёт # # #.
algorithms	18	чему равен минимум # # #? минимум # # # равен #.
algorithms	18	положив # # # в стек и сняв, получаем #.
algorithms	16	# простое.
algorithms	15	что даёт сортировка # # # #? сортировка # # # # даёт # # # #.
algorithms	15	сумма # # # # равна #.
algorithms	15	добавив # # # # в очередь и взяв, получаем #.
algorithms	15	разворот # # # # даёт # # # #.
algorithms	15	чему равна сумма # # # #? сумма # # # # равна #.
algorithms	15	чему равен максимум # # # #? максимум # # # # равен #.
algorithms	15	что стои́т на месте # в списке # # # #? на месте # нет ничего: в списке # # # # всего # ※.
algorithms	15	что даёт разворот # # # #? разворот # # # # даёт # # # #.
algorithms	15	длина # # # # равна #.
algorithms	15	максимум # # # # равен #.
algorithms	15	чему равна длина # # # #? длина # # # # равна #.
algorithms	15	сортировка # # # # даёт # # # #.
algorithms	15	чему равен минимум # # # #? минимум # # # # равен #.
algorithms	15	положив # # # # в стек и сняв, получаем #.
algorithms	15	минимум # # # # равен #.
algorithms	9	чему равен максимум # #? максимум # # равен #.
algorithms	9	что стои́т на месте # в списке # #? на месте # нет ничего: в списке # # всего # ※.
algorithms	9	минимум # # равен #.
algorithms	9	сортировка # # даёт # #.
algorithms	9	чему равен минимум # #? минимум # # равен #.
algorithms	9	положив # # в стек и сняв, получаем #.
algorithms	9	что даёт сортировка # #? сортировка # # даёт # #.
algorithms	9	сумма # # равна #.
algorithms	9	добавив # # в очередь и взяв, получаем #.
algorithms	9	разворот # # даёт # #.
algorithms	9	чему равна сумма # #? сумма # # равна #.
algorithms	9	что даёт разворот # #? разворот # # даёт # #.
algorithms	9	длина # # равна #.
algorithms	9	максимум # # равен #.
algorithms	9	чему равна длина # #? длина # # равна #.
algorithms	8	сортировка # # # # # даёт # # # # #.
algorithms	8	чему равен минимум # # # # #? минимум # # # # # равен #.
algorithms	8	положив # # # # # в стек и сняв, получаем #.
algorithms	8	разворот # # # # # даёт # # # # #.
algorithms	8	чему равна сумма # # # # #? сумма # # # # # равна #.
algorithms	8	максимум # # # # # равен #.
algorithms	8	чему равна длина # # # # #? длина # # # # # равна #.
algorithms	8	минимум # # # # # равен #.
algorithms	8	что даёт сортировка # # # # #? сортировка # # # # # даёт # # # # #.
algorithms	8	сумма # # # # # равна #.
algorithms	8	добавив # # # # # в очередь и взяв, получаем #.
algorithms	8	что даёт разворот # # # # #? разворот # # # # # даёт # # # # #.
algorithms	8	длина # # # # # равна #.
algorithms	8	чему равен максимум # # # # #? максимум # # # # # равен #.
algorithms	8	что стои́т на месте # в списке # # # # #? на месте # нет ничего: в списке # # # # # всего # ※.
arith_langs	10	сколько будет # − #? # − # = #.
arith_langs	10	чему равно # ÷ #? # ÷ # = #.
arith_langs	10	найди # + #. # + # = #.
arith_langs	10	вычисли # × #. # × # = #.
arith_langs	10	сколько будет # + #? # + # = #.
arith_langs	10	чему равно # × #? # × # = #.
arith_langs	10	найди # ÷ #. # ÷ # = #.
arith_langs	10	вычисли # − #. # − # = #.
arith_langs	10	сколько будет # ÷ #? # ÷ # = #.
arith_langs	10	чему равно # − #? # − # = #.
arith_langs	10	найди # × #. # × # = #.
arith_langs	10	вычисли # + #. # + # = #.
arith_langs	10	сколько будет # × #? # × # = #.
arith_langs	10	чему равно # + #? # + # = #.
arith_langs	10	найди # − #. # − # = #.
arith_langs	10	вычисли # ÷ #. # ÷ # = #.
average	26	среднее ※ #, # — это #: # + # = #, их количество #, # ÷ # = #.
average	26	чему равно среднее ※ #, #? среднее ※ #, # — это #: # + # = #, их количество #, # ÷ # = #.
average	26	сумма ※ #, # — это #.
average	26	в ряду #, # # ※.
average	26	наибольшее из #, # — это #.
average	26	наименьшее из #, # — это #.
average	26	среднее ※ #, # — это #, и # ≤ # ≤ #.
average	26	среднее всегда есть одно из ※ — ложь: среднее ※ #, # — это #, а # среди них нет.
average	24	среднее ※ #, #, #, # — это #: # + # + # + # = #, их количество #, # ÷ # = #.
average	24	чему равно среднее ※ #, #, #, #? среднее ※ #, #, #, # — это #: # + # + # + # = #, их количество #, # ÷ # = #.
average	24	сумма ※ #, #, #, # — это #.
average	24	в ряду #, #, #, # # ※.
average	24	наибольшее из #, #, #, # — это #.
average	24	наименьшее из #, #, #, # — это #.
average	24	среднее ※ #, #, #, # — это #, и # ≤ # ≤ #.
average	24	среднее всегда есть одно из ※ — ложь: среднее ※ #, #, #, # — это #, а # среди них нет.
average	21	среднее ※ #, #, # — это #: # + # + # = #, их количество #, # ÷ # = #.
average	21	чему равно среднее ※ #, #, #? среднее ※ #, #, # — это #: # + # + # = #, их количество #, # ÷ # = #.
average	21	сумма ※ #, #, # — это #.
average	21	в ряду #, #, # # ※.
average	21	наибольшее из #, #, # — это #.
average	21	наименьшее из #, #, # — это #.
average	21	среднее ※ #, #, # — это #, и # ≤ # ≤ #.
average	14	среднее всегда есть одно из ※ — ложь: среднее ※ #, #, # — это #, а # среди них нет.
average	12	среднее ※ #, #, #, #, # — это #: # + # + # + # + # = #, их количество #, # ÷ # = #.
average	12	чему равно среднее ※ #, #, #, #, #? среднее ※ #, #, #, #, # — это #: # + # + # + # + # = #, их количество #, # ÷ # = #.
average	12	сумма ※ #, #, #, #, # — это #.
average	12	в ряду #, #, #, #, # # ※.
average	12	наибольшее из #, #, #, #, # — это #.
average	12	наименьшее из #, #, #, #, # — это #.
average	12	среднее ※ #, #, #, #, # — это #, и # ≤ # ≤ #.
average	5	среднее всегда есть одно из ※ — ложь: среднее ※ #, #, #, #, # — это #, а # среди них нет.
bignum	65	чему равно # + #? # + # = #.
bignum	35	вычисли # + #. # + # = #.
bignum	35	найди # + #. # + # = #.
bignum	30	сколько будет # + #? # + # = #.
bignum	25	чему равно # × #? # × # = #.
bignum	15	чему равно # − #? # − # = #.
bignum	15	сколько будет # × #? # × # = #.
bignum	10	сколько будет # − #? # − # = #.
bignum	10	найди # × #. # × # = #.
bignum	10	вычисли # × #. # × # = #.
bignum	5	найди # − #. # − # = #.
bignum	5	вычисли # − #. # − # = #.
calendar	55	первые # ※ обычного ※ дают # ※ всего.
calendar	5	через # ※ после понедельника наступает четверг: # + # = #, ※ # — четверг.
calendar	5	через # ※ после среды наступает пятница: # + # = #, ※ # — пятница.
calendar	5	через # ※ после пятницы наступает суббота: # + # = #, ※ # — суббота.
calendar	5	через # ※ после субботы наступает пятница: # + # = #, # − # = #, ※ # — пятница.
calendar	5	через # ※ после понедельника наступает суббота: # + # = #, ※ # — суббота.
calendar	5	через # ※ после среды наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после пятницы наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после воскресенья наступает вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	через # ※ после вторника наступает среда: # + # = #, ※ # — среда.
calendar	5	через # ※ после среды наступает вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	через # ※ после пятницы наступает среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	через # ※ после воскресенья наступает четверг: # + # = #, # − # = #, ※ # — четверг.
calendar	5	через # ※ после вторника наступает пятница: # + # = #, ※ # — пятница.
calendar	5	через # ※ после четверга наступает суббота: # + # = #, ※ # — суббота.
calendar	5	через # ※ после субботы наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после воскресенья наступает суббота: # + # = #, # − # = #, ※ # — суббота.
calendar	5	через # ※ после вторника наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после четверга наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после субботы наступает вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	через # ※ после понедельника наступает среда: # + # = #, ※ # — среда.
calendar	5	через # ※ после среды наступает четверг: # + # = #, ※ # — четверг.
calendar	5	через # ※ после четверга наступает среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	через # ※ после субботы наступает четверг: # + # = #, # − # = #, ※ # — четверг.
calendar	5	через # ※ после понедельника наступает пятница: # + # = #, ※ # — пятница.
calendar	5	через # ※ после среды наступает суббота: # + # = #, ※ # — суббота.
calendar	5	через # ※ после пятницы наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после воскресенья наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после понедельника наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после среды наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после пятницы наступает вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	через # ※ после воскресенья наступает среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	через # ※ после вторника наступает четверг: # + # = #, ※ # — четверг.
calendar	5	через # ※ после четверга наступает пятница: # + # = #, ※ # — пятница.
calendar	5	через # ※ после пятницы наступает четверг: # + # = #, # − # = #, ※ # — четверг.
calendar	5	через # ※ после воскресенья наступает пятница: # + # = #, # − # = #, ※ # — пятница.
calendar	5	через # ※ после вторника наступает суббота: # + # = #, ※ # — суббота.
calendar	5	через # ※ после четверга наступает воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	через # ※ после субботы наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после понедельника наступает вторник: # + # = #, ※ # — вторник.
calendar	5	через # ※ после вторника наступает понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	через # ※ после четверга наступает вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	через # ※ после субботы наступает среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	понедельник — ※ номер # ※.
calendar	5	※ перед пятница — это четверг.
calendar	5	※ после вторника — это среда.
calendar	5	пятница — ※ номер # ※.
calendar	5	※ перед вторник — это понедельник.
calendar	5	※ после субботы — это воскресенье.
calendar	5	вторник — ※ номер # ※.
calendar	5	※ перед суббота — это пятница.
calendar	5	※ после среды — это четверг.
calendar	5	суббота — ※ номер # ※.
calendar	5	※ перед среда — это вторник.
calendar	5	※ после воскресенья — это понедельник.
calendar	5	среда — ※ номер # ※.
calendar	5	※ перед воскресенье — это суббота.
calendar	5	※ после четверга — это пятница.
calendar	5	воскресенье — ※ номер # ※.
calendar	5	※ перед четверг — это среда.
calendar	5	※ после понедельника — это вторник.
calendar	5	четверг — ※ номер # ※.
calendar	5	※ перед понедельник — это воскресенье.
calendar	5	※ после пятницы — это суббота.
calendar	5	какой ※ через # ※ после понедельника? через # ※ после понедельника — среда: # + # = #, ※ # — среда.
calendar	5	какой ※ через # ※ после вторника? через # ※ после вторника — пятница: # + # = #, ※ # — пятница.
calendar	5	какой ※ после среды? после среды — четверг.
calendar	5	какой ※ через # ※ после среды? через # ※ после среды — воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	какой ※ через # ※ после четверга? через # ※ после четверга — вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	какой ※ перед воскресеньем? перед воскресеньем — суббота.
calendar	5	какой ※ перед маем? перед маем — апрель.
calendar	5	какой ※ после июля? после июля — август.
calendar	5	какой ※ перед декабрём? перед декабрём — ноябрь.
calendar	5	какой ※ перед средой? перед средой — вторник.
calendar	5	какой ※ через # ※ после четверга? через # ※ после четверга — суббота: # + # = #, ※ # — суббота.
calendar	5	какой ※ через # ※ после пятницы? через # ※ после пятницы — понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	какой ※ после субботы? после субботы — воскресенье.
calendar	5	какой ※ через # ※ после субботы? через # ※ после субботы — среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	какой ※ через # ※ после воскресенья? через # ※ после воскресенья — пятница: # + # = #, # − # = #, ※ # — пятница.
calendar	5	какой ※ после февраля? после февраля — март.
calendar	5	какой ※ перед июлем? перед июлем — июнь.
calendar	5	какой ※ после сентября? после сентября — октябрь.
calendar	5	какой ※ через # ※ после понедельника? через # ※ после понедельника — четверг: # + # = #, ※ # — четверг.
calendar	5	какой ※ после вторника? после вторника — среда.
calendar	5	какой ※ через # ※ после вторника? через # ※ после вторника — суббота: # + # = #, ※ # — суббота.
calendar	5	какой ※ через # ※ после среды? через # ※ после среды — понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	какой ※ перед субботой? перед субботой — пятница.
calendar	5	какой ※ через # ※ после воскресенья? через # ※ после воскресенья — вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	какой ※ перед февралём? перед февралём — январь.
calendar	5	какой ※ после апреля? после апреля — май.
calendar	5	какой ※ перед сентябрём? перед сентябрём — август.
calendar	5	какой ※ после ноября? после ноября — декабрь.
calendar	5	какой ※ перед вторником? перед вторником — понедельник.
calendar	5	какой ※ через # ※ после среды? через # ※ после среды — пятница: # + # = #, ※ # — пятница.
calendar	5	какой ※ через # ※ после четверга? через # ※ после четверга — воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	какой ※ после пятницы? после пятницы — суббота.
calendar	5	какой ※ через # ※ после пятницы? через # ※ после пятницы — вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	какой ※ через # ※ после субботы? через # ※ после субботы — четверг: # + # = #, # − # = #, ※ # — четверг.
calendar	5	какой ※ перед апрелем? перед апрелем — март.
calendar	5	какой ※ после июня? после июня — июль.
calendar	5	какой ※ перед ноябрём? перед ноябрём — октябрь.
calendar	5	какой ※ после понедельника? после понедельника — вторник.
calendar	5	какой ※ через # ※ после понедельника? через # ※ после понедельника — пятница: # + # = #, ※ # — пятница.
calendar	5	какой ※ через # ※ после вторника? через # ※ после вторника — воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	какой ※ перед пятницей? перед пятницей — четверг.
calendar	5	какой ※ через # ※ после субботы? через # ※ после субботы — понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	какой ※ через # ※ после воскресенья? через # ※ после воскресенья — среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	какой ※ после января? после января — февраль.
calendar	5	какой ※ перед июнем? перед июнем — май.
calendar	5	какой ※ после августа? после августа — сентябрь.
calendar	5	какой ※ перед понедельником? перед понедельником — воскресенье.
calendar	5	какой ※ через # ※ после вторника? через # ※ после вторника — четверг: # + # = #, ※ # — четверг.
calendar	5	какой ※ через # ※ после среды? через # ※ после среды — суббота: # + # = #, ※ # — суббота.
calendar	5	какой ※ после четверга? после четверга — пятница.
calendar	5	какой ※ через # ※ после четверга? через # ※ после четверга — понедельник: # + # = #, # − # = #, ※ # — понедельник.
calendar	5	какой ※ через # ※ после пятницы? через # ※ после пятницы — среда: # + # = #, # − # = #, ※ # — среда.
calendar	5	какой ※ перед январём? перед январём — декабрь.
calendar	5	какой ※ после марта? после марта — апрель.
calendar	5	какой ※ перед августом? перед августом — июль.
calendar	5	какой ※ после октября? после октября — ноябрь.
calendar	5	какой ※ через # ※ после понедельника? через # ※ после понедельника — суббота: # + # = #, ※ # — суббота.
calendar	5	какой ※ перед четвергом? перед четвергом — среда.
calendar	5	какой ※ через # ※ после пятницы? через # ※ после пятницы — воскресенье: # + # = #, ※ # — воскресенье.
calendar	5	какой ※ через # ※ после субботы? через # ※ после субботы — вторник: # + # = #, # − # = #, ※ # — вторник.
calendar	5	какой ※ после воскресенья? после воскресенья — понедельник.
calendar	5	какой ※ через # ※ после воскресенья? через # ※ после воскресенья — четверг: # + # = #, # − # = #, ※ # — четверг.
calendar	5	какой ※ перед мартом? перед мартом — февраль.
calendar	5	какой ※ после мая? после мая — июнь.
calendar	5	какой ※ перед октябрём? перед октябрём — сентябрь.
calendar	5	какой ※ после декабря? после декабря — январь.
calendar	5	февраль — ※ номер #, в нём # ※.
calendar	5	※ после мая — это июнь.
calendar	5	сентябрь — ※ номер #, в нём # ※.
calendar	5	※ после декабря — это январь.
calendar	5	апрель — ※ номер #, в нём # ※.
calendar	5	※ после июля — это август.
calendar	5	ноябрь — ※ номер #, в нём # ※.
calendar	5	※ после февраля — это март.
calendar	5	июнь — ※ номер #, в нём # ※.
calendar	5	※ после сентября — это октябрь.
calendar	5	январь — ※ номер #, в нём # ※.
calendar	5	※ после апреля — это май.
calendar	5	август — ※ номер #, в нём # ※.
calendar	5	※ после ноября — это декабрь.
calendar	5	март — ※ номер #, в нём # ※.
calendar	5	※ после июня — это июль.
calendar	5	октябрь — ※ номер #, в нём # ※.
calendar	5	※ после января — это февраль.
calendar	5	май — ※ номер #, в нём # ※.
calendar	5	※ после августа — это сентябрь.
calendar	5	декабрь — ※ номер #, в нём # ※.
calendar	5	※ после марта — это апрель.
calendar	5	июль — ※ номер #, в нём # ※.
