# ПРЕДИКАТЫ ВОПРОСА О СВОЙСТВЕ, СОБРАННЫЕ ПО ВСЕМУ СВОДУ (06.09)
# Слово в три буквы, НЕ объявленное зачином, служебным словом или
# числительным, стоящее в ПОЛЯРНОМ вопросе своего мира; куплено ≥ LAW = 2.
мир	предикат	вопросов
inquiry	всякое	44
inquiry	первых	42
inquiry	нечётных	42
inquiry	равна	42
inquiry	first	42
inquiry	digit	40
inquiry	его	40
inquiry	цифр	40
inquiry	инъективна	40
inquiry	injective	40
inquiry	ровно	36
inquiry	тогда	36
inquiry	больше	34
inquiry	произведение	34
inquiry	простых	34
inquiry	whole	34
inquiry	above	34
inquiry	product	34
inquiry	primes	34
inquiry	чётен	29
inquiry	всякий	18
inquiry	чётного	11
inquiry	нечётного	11
inquiry	нечётен	11
inquiry	чётное	10
inquiry	всякая	10
inquiry	функция	10
inquiry	function	10
inquiry	нечётные	8
inquiry	просты	8
inquiry_de_fr	wahr	284
inquiry_de_fr	gerade	213
inquiry_de_fr	durch	152
inquiry_de_fr	teilbar	152
inquiry_de_fr	dann	110
inquiry_de_fr	zahl	103
inquiry_de_fr	ungeraden	83
inquiry_de_fr	zahlen	73
inquiry_de_fr	genau	61
inquiry_de_fr	jede	60
inquiry_de_fr	summe	56
inquiry_de_fr	ersten	56
inquiry_de_fr	injektiv	55
inquiry_de_fr	nur	51
inquiry_de_fr	sich	51
inquiry_de_fr	selbst	51
inquiry_de_fr	primzahl	51
inquiry_de_fr	vielfaches	51
inquiry_de_fr	ungerade	50
inquiry_de_fr	primzahlen	48
inquiry_de_fr	pair	40
inquiry_de_fr	impair	40
inquiry_de_fr	premiers	40
inquiry_de_fr	entre	40
inquiry_de_fr	eux	40
inquiry_de_fr	teilerfremd	40
inquiry_de_fr	quadrat	38
inquiry_de_fr	ganze	31
inquiry_de_fr	größer	31
inquiry_de_fr	als	31
inquiry_de_fr	produkt	31
inquiry_de_fr	ihre	31
inquiry_de_fr	quersumme	31
inquiry_de_fr	alle	17
inquiry_de_fr	jedes	16
inquiry_de_fr	geraden	12
inquiry_de_fr	funktion	10
inquiry_es_it	vero	209
inquiry_es_it	cierto	209
inquiry_es_it	pari	144
inquiry_es_it	número	87
inquiry_es_it	divisible	80
inquiry_es_it	primos	73
inquiry_es_it	primi	66
inquiry_es_it	numeri	64
inquiry_es_it	números	64
inquiry_es_it	dispari	63
inquiry_es_it	numero	56
inquiry_es_it	impar	56
inquiry_es_it	somma	52
inquiry_es_it	suma	52
inquiry_es_it	cuando	51
inquiry_es_it	tutti	47
inquiry_es_it	impares	47
inquiry_es_it	entre	40
inquiry_es_it	entonces	37
inquiry_es_it	allora	37
inquiry_es_it	pares	33
inquiry_es_it	primeros	33
inquiry_es_it	dei	33
inquiry_es_it	inyectiva	33
inquiry_es_it	exactamente	32
inquiry_es_it	esattamente	32
inquiry_es_it	solo	31
inquiry_es_it	mismo	31
inquiry_es_it	primo	31
inquiry_es_it	múltiplo	30
inquiry_es_it	tutte	21
inquiry_es_it	funzioni	21
inquiry_es_it	iniettive	21
inquiry_es_it	todas	21
inquiry_es_it	funciones	21
inquiry_es_it	inyectivas	21
inquiry_es_it	todo	19
inquiry_es_it	entero	19
inquiry_es_it	mayor	19
inquiry_es_it	producto	19
inquiry_es_it	ogni	19
inquiry_es_it	intero	19
inquiry_es_it	maggiore	19
inquiry_es_it	prodotto	19
inquiry_es_it	divisibile	19
inquiry_es_it	delle	19
inquiry_es_it	sue	19
inquiry_es_it	cifre	19
inquiry_es_it	sus	19
inquiry_es_it	cifras	19
inquiry_es_it	quadrato	18
inquiry_es_it	cuadrado	18
inquiry_es_it	divisibles	17
inquiry_es_it	divisibili	17
inquiry_es_it	cuadrados	16
inquiry_es_it	quadrati	16
inquiry_es_it	iniettiva	15
inquiry_pl_tr	parzyste	224
inquiry_pl_tr	prawda	209
inquiry_pl_tr	się	107
inquiry_pl_tr	liczby	101
inquiry_pl_tr	dzieli	90
inquiry_pl_tr	wszystkie	68
inquiry_pl_tr	jeśli	67
inquiry_pl_tr	dokładnie	63
inquiry_pl_tr	nieparzyste	54
inquiry_pl_tr	pierwsze	54
inquiry_pl_tr	liczb	52
inquiry_pl_tr	pierwszych	52
inquiry_pl_tr	wielokrotnością	52
inquiry_pl_tr	suma	52
inquiry_pl_tr	gdy	51
inquiry_pl_tr	względnie	40
inquiry_pl_tr	liczba	38
inquiry_pl_tr	nieparzystych	33
inquiry_pl_tr	wynosi	33
inquiry_pl_tr	różnowartościowa	33
inquiry_pl_tr	wtedy	32
inquiry_pl_tr	dzielniki	31
inquiry_pl_tr	liczbą	31
inquiry_pl_tr	pierwszą	31
inquiry_pl_tr	funkcje	21
inquiry_pl_tr	różnowartościowe	21
inquiry_pl_tr	każda	19
inquiry_pl_tr	całkowita	19
inquiry_pl_tr	większa	19
inquiry_pl_tr	iloczynem	19
inquiry_pl_tr	jej	19
inquiry_pl_tr	cyfr	19
inquiry_pl_tr	kwadrat	18
inquiry_pl_tr	dzielą	17
inquiry_pl_tr	kwadraty	16
inquiry_pl_tr	parzystej	10
inquiry_pl_tr	parzysty	10
inquiry_pl_tr	nieparzystej	8
inquiry_pl_tr	nieparzysty	8
inquiry_pt_nl	verdade	284
inquiry_pt_nl	even	225
inquiry_pt_nl	door	183
inquiry_pt_nl	deelbaar	183
inquiry_pt_nl	oneven	133
inquiry_pt_nl	números	104
inquiry_pt_nl	getal	103
inquiry_pt_nl	número	103
inquiry_pt_nl	primos	88
inquiry_pt_nl	soma	87
inquiry_pt_nl	divisível	81
inquiry_pt_nl	dan	80
inquiry_pt_nl	ímpares	73
inquiry_pt_nl	getallen	73
inquiry_pt_nl	elk	66
inquiry_pt_nl	todo	66
inquiry_pt_nl	precies	61
inquiry_pt_nl	exatamente	61
inquiry_pt_nl	primeiros	56
inquiry_pt_nl	som	56
inquiry_pt_nl	eerste	56
inquiry_pt_nl	injectief	55
inquiry_pt_nl	alleen	51
inquiry_pt_nl	zichzelf	51
inquiry_pt_nl	priemgetal	51
inquiry_pt_nl	veelvoud	51
inquiry_pt_nl	então	49
inquiry_pt_nl	als	49
inquiry_pt_nl	priemgetallen	48
inquiry_pt_nl	injetiva	43
inquiry_pt_nl	onderling	40
inquiry_pt_nl	ondeelbaar	40
inquiry_pt_nl	entre	40
inquiry_pt_nl	quadrado	38
inquiry_pt_nl	kwadraat	38
inquiry_pt_nl	geheel	31
inquiry_pt_nl	groter	31
inquiry_pt_nl	product	31
inquiry_pt_nl	inteiro	31
inquiry_pt_nl	maior	31
inquiry_pt_nl	produto	31
inquiry_pt_nl	cijfersom	31
inquiry_pt_nl	seus	31
inquiry_pt_nl	algarismos	31
inquiry_pt_nl	ímpar	20
inquiry_pt_nl	alle	17
inquiry_pt_nl	toda	10
inquiry_pt_nl	função	10
inquiry_pt_nl	elke	10
inquiry_pt_nl	functie	10
linalg	целое	67
linalg	длина	67
linalg	вектора	67
linalg	length	67
linalg	vector	67
linalg	whole	67
linalg	number	67
links	prawda	268
links	правда	198
links	pan	134
links	chodzi	128
links	się	128
links	jajek	91
links	piłek	91
links	kwiatów	91
links	jan	88
links	marek	88
links	zofia	88
links	kart	88
links	ewa	88
links	maria	88
links	paweł	88
links	anna	88
links	piotr	88
links	согласен	87
links	powiedział	64
links	powiedziałeś	64
links	panu	64
links	zgadza	64
links	оли	35
links	вани	35
links	ивана	30
links	марии	30
links	юры	30
links	анны	30
links	пети	30
links	ани	30
links	петра	30
links	димы	30
links	маши	30
links	веры	30
links	лены	30
links	дважды	16
links	karty	16
links	kwiaty	13
links	piłki	13
links	jajka	13
links	true	12
links	times	12
links	verdad	12
links	vero	12
links	verdade	12
links	vezes	12
links	razy	12
links	dat	12
links	maal	12
links	трижды	8
links	pewien	6
longdiv	нацело	77
mandateforms	plików	204
mandateforms	правило	180
mandateforms	файлы	180
mandateforms	zasada	180
mandateforms	можно	144
mandateforms	выполнить	144
mandateforms	приказ	144
mandateforms	można	144
mandateforms	wykonać	144
mandateforms	polecenie	144
mandateforms	создавай	60
mandateforms	удаляй	60
mandateforms	перемещай	60
mandateforms	twórz	60
mandateforms	usuwaj	60
mandateforms	przenoś	60
mandateforms	удали	48
mandateforms	перемести	48
mandateforms	создай	48
mandateforms	usuń	48
mandateforms	przenieś	48
mandateforms	wiadomości	48
mandateforms	utwórz	48
mandateforms	первое	36
mandateforms	второе	36
mandateforms	pierwsza	36
mandateforms	druga	36
mandateforms	файла	24
mandateforms	записи	24
mandateforms	записей	24
mandateforms	сообщения	24
mandateforms	сообщений	24
mandateforms	файлов	24
mandateforms	pliki	24
mandateforms	wpisy	24
mandateforms	wpisów	24
mathspaces	graph	19
mathspaces	графе	18
mathspaces	connected	10
mathspaces	граф	10
mathspaces	путь	10
mathspaces	cycle	9
mathspaces	цикл	8
nature	tous	2
nature	wszystkie	2
numberline	większe	168
numberline	bigger	132
numberline	groter	132
numberline	dan	132
numberline	верно	66
numberline	больше	66
numberline	true	66
numberline	größer	66
numberline	als	66
numberline	verdad	66
numberline	mayor	66
numberline	vero	66
numberline	maggiore	66
numberline	verdade	66
numberline	maior	66
numberline	dat	66
numberline	prawda	66
numberline	even	40
numberline	mniejsze	36
numberline	liczba	36
numberline	odd	20
numberline	number	20
numberline	gerade	20
numberline	ungerade	20
numberline	zahl	20
numberline	oneven	20
numberline	getal	20
numberline	parzysta	20
numberline	nieparzysta	20
numberline	najmniejsza	8
numberline	największa	8
numbers	модулю	240
numbers	congruent	240
numbers	modulo	240
numbers	простым	142
numbers	числом	142
numbers	prime	142
numbers	number	142
numbers	exactly	142
numbers	divisors	142
numbers	просты	100
numbers	coprime	100
object	отнять	32
object	будет	32
object	minus	32
object	tak	32
object	сказали	16
object	сказал	16
object	powiedział	16
object	pan	16
object	powiedziałeś	16
opinion	fakt	24
opinion	opinia	24
opinion	wodzie	4
opinion	lód	2
opinion	pływa	2
opinion	woda	2
opinion	wrze	2
opinion	przy	2
opinion	stopniach	2
opinion	przytulnie	2
opinion	dym	2
opinion	unosi	2
opinion	się	2
opinion	góry	2
opinion	kolor	2
opinion	ładny	2
opinion	zupa	2
opinion	smaczna	2
opinion	nocy	2
opinion	ciemno	2
opinion	droga	2
opinion	długa	2
opinion	ciekawa	2
opinion	kamień	2
opinion	tonie	2
opinion	deszczu	2
opinion	ziemia	2
opinion	mokra	2
opinion	muzyka	2
opinion	dobra	2
physics	целое	50
physics	скорость	50
physics	тела	50
physics	прошедшего	50
physics	speed	50
physics	body	50
physics	covering	50
physics	whole	50
physics	number	50
physlaws	pressure	84
physlaws	force	84
physlaws	area	84
physlaws	give	84
physlaws	whole	84
physlaws	number	84
physlaws	даёт	84
physlaws	давление	84
physlaws	сила	84
physlaws	площадь	84
physlaws	целое	84
physlaws	при	84
planforms	krok	320
planforms	skrzynek	123
planforms	plan	120
planforms	włożyć	100
planforms	załadować	100
planforms	zebrać	100
planforms	skrzynki	97
planforms	zrobić	80
planforms	najpierw	80
planforms	jeszcze	80
planforms	ящиков	66
planforms	upiec	60
planforms	podlać	60
planforms	zamknąć	60
planforms	plecak	60
planforms	план	40
planforms	положить	40
planforms	ещё	40
planforms	после	40
planforms	выполнена	40
planforms	погрузить	40
planforms	собрать	40
planforms	kupić	40
planforms	napełnić	40
planforms	spakować	40
planforms	kroku	40
planforms	zadanie	40
planforms	wykonane	40
planforms	wszystkie	40
planforms	bułek	34
planforms	grządek	34
planforms	paczki	31
planforms	wiadra	31
planforms	bułki	26
planforms	grządki	26
planforms	уложить	20
planforms	закрыть	20
planforms	рюкзак	20
planforms	ящики	20
planforms	ящика	10
planforms	paczek	9
planforms	wiader	9
planforms	ящик	4
primes_langs	primzahl	25
primes_langs	primo	25
primes_langs	priem	25
primes_langs	liczbą	25
primes_langs	pierwszą	25
proof	чётно	144
proof	odd	38
proof	even	36
proof	positive	29
proof	верно	28
proof	для	28
proof	положительно	27
proof	больше	20
proof	нуля	20
proof	above	20
proof	true	8
proof	whole	2
proof	numbers	2
proof	multiples	2
proof	square	2
proof	primes	2
propcompare	kamień	8
propcompare	poduszka	4
propcompare	pióro	4
propcompare	żółw	4
propcompare	zając	4
propcompare	lód	4
propcompare	ogień	4
propcompare	żyrafa	4
propcompare	kot	4
propcompare	bardziej	2
propcompare	miękkie	2
propcompare	cięższe	2
propcompare	wolniejsze	2
propcompare	gorętsze	2
propcompare	zimniejsze	2
propcompare	twardsze	2
propcompare	lżejsze	2
propcompare	wyższe	2
propcompare	szybsze	2
propcompare	niższe	2
quantforms	корзине	56
quantforms	koszyku	56
quantforms	zielone	55
quantforms	красных	53
quantforms	зелёных	48
quantforms	czerwone	47
quantforms	czerwonych	33
quantforms	wszystkie	32
quantforms	яблоки	24
quantforms	красные	24
quantforms	зелёные	16
quantforms	синие	16
quantforms	niebieskie	16
quantforms	zielonych	9
quantforms	красное	3
relation	relation	17
relation	transitive	17
relation	множестве	14
relation	set	14
relation	транзитивно	12
relation	отношение	12
relation	соответствие	10
relation	correspondence	10
relation	node	10
relation	path	8
relation	declared	8
relation	graph	8
relation	путь	8
relation	объявленном	8
relation	графе	8
relation	узлах	6
relation	родов	6
relation	следующий	6
relation	nodes	6
relation	tree	6
relation	kinds	6
relation	next	6
relation	пара	5
relation	транзитивном	5
relation	замыкании	5
relation	отношения	5
relation	содержит	5
relation	pair	5
relation	closure	5
relation	contain	5
relation	элементы	5
relation	порядке	5
relation	elements	5
relation	comparable	5
relation	order	5
relation	больше	4
relation	body	4
relation	делит	4
relation	divides	4
relation	neighbour	3
relation	сосед	3
relation	номер	2
relation	обходе	2
relation	walk	2
relation	number	2
relation	thing	2
relation	квадрат	2
relation	чётность	2
relation	square	2
relation	parity	2
relation	равно	2
relation	equal	2
relation	liquid	2
relation	name	2
relation	russian	2
relation	имя	2
relation	sign	2
relation	digit	2
relation	level	2
relation	уровень	2
relation	remainder	2
relation	modulo	2
relation	numbers	2
relation	measure	2
relation	weight	2
relation	остаток	2
relation	модулю	2
relation	числах	2
relation	solid	2
relation	iron	2
rewrite	dasselbe	8
rewrite	mismo	8
rewrite	hetzelfde	8
rewrite	samo	8
ru_compare	кратно	13
ru_compare	числу	13
scale	większy	50
scale	больше	45
scale	większe	30
scale	słoń	20
scale	mysz	20
scale	koń	20
scale	pies	20
scale	kot	20
scale	człowiek	20
scale	значит	15
scale	быть	15
scale	więc	15
scale	może	15
scale	być	15
scale	мышь	10
scale	слона	10
scale	myszy	10
scale	większa	10
scale	słonia	10
scale	psa	10
scale	konia	10
scale	kota	10
scale	człowieka	10
scale	лошади	9
scale	кошка	9
scale	собака	8
scale	собаки	7
scale	лошадь	6
scale	кошки	6
scale	слон	5
scale	мыши	5
sceneforms	столе	56
sceneforms	полке	56
sceneforms	коробке	56
sceneforms	сумке	56
sceneforms	stole	56
sceneforms	półce	56
sceneforms	pudełku	56
sceneforms	torbie	56
sceneforms	нет	32
sceneforms	kwiaty	17
sceneforms	piłki	16
sceneforms	jajka	16
sceneforms	karty	16
sceneforms	шары	14
sceneforms	цветки	14
sceneforms	яблоки	14
sceneforms	piłek	12
sceneforms	jajek	12
sceneforms	kart	12
sceneforms	kwiatów	11
school_biling_v2c	нацело	60
statistics	single	80
statistics	median	80
statistics	единственная	80
statistics	медиана	80
summaryforms	сводка	420
summaryforms	podsumowanie	420
summaryforms	wiadomości	402
summaryforms	папке	372
summaryforms	folderze	372
summaryforms	записей	333
summaryforms	сообщений	333
summaryforms	wpisów	333
summaryforms	plików	333
summaryforms	файлов	332
summaryforms	ящике	288
summaryforms	списке	288
summaryforms	pudełku	288
summaryforms	liście	288
summaryforms	верна	210
summaryforms	poprawne	210
summaryforms	полке	168
summaryforms	półce	168
summaryforms	акт	126
summaryforms	akt	126
summaryforms	создаёт	84
summaryforms	tworzy	84
summaryforms	записи	69
summaryforms	файла	69
summaryforms	wpisy	69
summaryforms	pliki	69
summaryforms	сообщения	68
summaryforms	первый	42
summaryforms	второй	42
summaryforms	удаляет	42
summaryforms	третий	42
summaryforms	pierwszy	42
summaryforms	drugi	42
summaryforms	usuwa	42
summaryforms	trzeci	42
summaryforms	сообщение	13
summaryforms	файл	13
summaryforms	запись	12
summaryforms	wiadomość	12
summaryforms	wpis	12
summaryforms	plik	12
verifyforms	правда	160
verifyforms	true	160
verifyforms	verdad	160
verifyforms	vero	160
verifyforms	verdade	160
verifyforms	dat	160
verifyforms	prawda	160
verifyforms	even	50
verifyforms	чётно	25
verifyforms	pari	25
verifyforms	parzysta	25
worldfacts	się	25
worldfacts	согласен	23
worldfacts	правда	12
worldfacts	jeśli	12
worldfacts	prawda	12
worldfacts	agree	11
worldfacts	accordo	11
worldfacts	zgadza	11
worldfacts	pan	11
worldfacts	вода	10
worldfacts	мокрая	8
worldfacts	воде	8
worldfacts	wszystkie	7
worldfacts	woda	7
worldfacts	кипит	6
worldfacts	при	6
worldfacts	градусах	6
worldfacts	roślina	6
worldfacts	kamień	6
worldfacts	wodzie	6
worldfacts	mokra	6
worldfacts	zwierzę	6
worldfacts	тонет	4
worldfacts	дождь	4
worldfacts	идёт	4
worldfacts	лёд	4
worldfacts	плавает	4
worldfacts	снег	4
worldfacts	холодный	4
worldfacts	твёрдый	4
worldfacts	ночью	4
worldfacts	темно	4
worldfacts	water	4
worldfacts	acqua	4
worldfacts	dąb	4
worldfacts	wrze	4
worldfacts	przy	4
worldfacts	stopniach	4
worldfacts	дым	4
worldfacts	поднимается	4
worldfacts	вверх	4
worldfacts	после	4
worldfacts	дождя	4
worldfacts	земля	4
worldfacts	огонь	4
worldfacts	горячий	4
worldfacts	róża	4
worldfacts	mleko	4
worldfacts	rekin	4
worldfacts	jaskółka	4
worldfacts	drzewo	3
worldfacts	tonie	3
worldfacts	pada	3
worldfacts	deszcz	3
worldfacts	lód	3
worldfacts	pływa	3
worldfacts	śnieg	3
worldfacts	zimny	3
worldfacts	twardy	3
worldfacts	dym	3
worldfacts	unosi	3
worldfacts	góry	3
worldfacts	kwiat	3
worldfacts	każdy	3
worldfacts	płyn	3
worldfacts	substancja	3
worldfacts	ogień	3
worldfacts	gorący	3
worldfacts	nocy	3
worldfacts	ciemno	3
worldfacts	deszczu	3
worldfacts	ziemia	3
worldfacts	ryba	3
worldfacts	ptak	3
worldfacts	pietra	2
worldfacts	rośliny	2
worldfacts	ста	2
worldfacts	wet	2
worldfacts	bagnata	2
worldfacts	zwierzętami	2
worldfacts	filemon	2
worldfacts	zwierzęciem	2
worldfacts	zwierzęta	2
worldfacts	reksio	2
