в мешке 2 красных ключа и 12 синих ключей. вынуть красный вряд ли: 2 + 12 = 14, и вероятность есть 2 из 14, а это меньше половины.
a bag holds 2 red keys and 12 blue keys. drawing a red one is unlikely: 2 + 12 = 14, and the chance is 2 out of 14, which is less than half.
a bag holds 1 blue nut and 25 yellow nuts. drawing a blue one is unlikely: 1 + 25 = 26, and the chance is 1 out of 26, which is less than half.
a bag holds 7 black nuts and 3 red nuts. drawing a black one is likely: 7 + 3 = 10, and the chance is 7 out of 10, which is more than half.
a bag holds 3 black nuts and 19 red nuts. drawing a black one is unlikely: 3 + 19 = 22, and the chance is 3 out of 22, which is less than half.
a bag holds 5 yellow nuts and 1 white nut. drawing a yellow one is likely: 5 + 1 = 6, and the chance is 5 out of 6, which is more than half.
a bag holds 16 white balls and 2 black balls. drawing a white one is likely: 16 + 2 = 18, and the chance is 16 out of 18, which is more than half.
a bag holds 27 black stones and 3 red stones. drawing a black one is likely: 27 + 3 = 30, and the chance is 27 out of 30, which is more than half.
a bag holds 1 blue ball and 15 yellow balls. drawing a blue one is unlikely: 1 + 15 = 16, and the chance is 1 out of 16, which is less than half.
a bag holds 25 yellow stones and 1 white stone. drawing a yellow one is likely: 25 + 1 = 26, and the chance is 25 out of 26, which is more than half.
a bag holds 3 black balls and 9 red balls. drawing a black one is unlikely: 3 + 9 = 12, and the chance is 3 out of 12, which is less than half.
a bag holds 2 red stones and 22 blue stones. drawing a red one is unlikely: 2 + 22 = 24, and the chance is 2 out of 24, which is less than half.
a bag holds 6 white stones and 2 black stones. drawing a white one is likely: 6 + 2 = 8, and the chance is 6 out of 8, which is more than half.
a bag holds 17 black keys and 3 red keys. drawing a black one is likely: 17 + 3 = 20, and the chance is 17 out of 20, which is more than half.
a bag holds 1 red ball and 3 blue balls. drawing a red one is unlikely: 1 + 3 = 4, and the chance is 1 out of 4, which is less than half.
a bag holds 15 yellow keys and 1 white key. drawing a yellow one is likely: 15 + 1 = 16, and the chance is 15 out of 16, which is more than half.
a bag holds 26 white nuts and 2 black nuts. drawing a white one is likely: 26 + 2 = 28, and the chance is 26 out of 28, which is more than half.

a bag holds 12 yellow nuts and 12 white nuts. drawing a yellow one and drawing a white one are equally likely: 12 + 12 = 24, and the chance is 12 out of 24, which is exactly half.
a bag holds 2 blue stones and 2 yellow stones. drawing a blue one and drawing a yellow one are equally likely: 2 + 2 = 4, and the chance is 2 out of 4, which is exactly half.
a bag holds 7 yellow balls and 7 white balls. drawing a yellow one and drawing a white one are equally likely: 7 + 7 = 14, and the chance is 7 out of 14, which is exactly half.

в мешке 7 чёрных ключей и 1 красных ключ. вынуть чёрный скорее всего: 7 + 1 = 8, и вероятность есть 7 из 8, а это больше половины.
в мешке 1 белых ключ и 27 чёрных ключей. вынуть белый вряд ли: 1 + 27 = 28, и вероятность есть 1 из 28, а это меньше половины.
в мешке 17 чёрных камней и 1 красных камень. вынуть чёрный скорее всего: 17 + 1 = 18, и вероятность есть 17 из 18, а это больше половины.
в мешке 8 красных шаров и 2 синих шара. вынуть красный скорее всего: 8 + 2 = 10, и вероятность есть 8 из 10, а это больше половины.
в мешке 27 чёрных шаров и 1 красных шар. вынуть чёрный скорее всего: 27 + 1 = 28, и вероятность есть 27 из 28, а это больше половины.
в мешке 18 красных орехов и 2 синих ореха. вынуть красный скорее всего: 18 + 2 = 20, и вероятность есть 18 из 20, а это больше половины.
в мешке 9 синих ключей и 3 жёлтых ключа. вынуть синий скорее всего: 9 + 3 = 12, и вероятность есть 9 из 12, а это больше половины.
в мешке 28 красных ключей и 2 синих ключа. вынуть красный скорее всего: 28 + 2 = 30, и вероятность есть 28 из 30, а это больше половины.
в мешке 19 синих камней и 3 жёлтых камня. вынуть синий скорее всего: 19 + 3 = 22, и вероятность есть 19 из 22, а это больше половины.
в мешке 3 синих ореха и 11 жёлтых орехов. вынуть синий вряд ли: 3 + 11 = 14, и вероятность есть 3 из 14, а это меньше половины.
в мешке 3 жёлтых ключа и 1 белых ключ. вынуть жёлтый скорее всего: 3 + 1 = 4, и вероятность есть 3 из 4, а это больше половины.
в мешке 3 синих ключа и 21 жёлтых ключ. вынуть синий вряд ли: 3 + 21 = 24, и вероятность есть 3 из 24, а это меньше половины.
в мешке 2 жёлтых камня и 14 белых камней. вынуть жёлтый вряд ли: 2 + 14 = 16, и вероятность есть 2 из 16, а это меньше половины.
в мешке 1 белых шар и 7 чёрных шаров. вынуть белый вряд ли: 1 + 7 = 8, и вероятность есть 1 из 8, а это меньше половины.
в мешке 2 жёлтых шара и 24 белых шара. вынуть жёлтый вряд ли: 2 + 24 = 26, и вероятность есть 2 из 26, а это меньше половины.
в мешке 1 белых орех и 17 чёрных орехов. вынуть белый вряд ли: 1 + 17 = 18, и вероятность есть 1 из 18, а это меньше половины.

в мешке 13 чёрных ключей и 13 красных ключей. вынуть чёрный и вынуть красный равно возможно: 13 + 13 = 26, и вероятность есть 13 из 26, а это ровно половина.
в мешке 8 чёрных орехов и 8 красных орехов. вынуть чёрный и вынуть красный равно возможно: 8 + 8 = 16, и вероятность есть 8 из 16, а это ровно половина.
в мешке 3 красных камня и 3 синих камня. вынуть красный и вынуть синий равно возможно: 3 + 3 = 6, и вероятность есть 3 из 6, а это ровно половина.

a bag holds 7 black keys and 1 red key. drawing a black one is likely: 7 + 1 = 8, and the chance is 7 out of 8, which is more than half.
a bag holds 1 white key and 27 black keys. drawing a white one is unlikely: 1 + 27 = 28, and the chance is 1 out of 28, which is less than half.
a bag holds 17 black stones and 1 red stone. drawing a black one is likely: 17 + 1 = 18, and the chance is 17 out of 18, which is more than half.
a bag holds 8 red balls and 2 blue balls. drawing a red one is likely: 8 + 2 = 10, and the chance is 8 out of 10, which is more than half.
a bag holds 27 black balls and 1 red ball. drawing a black one is likely: 27 + 1 = 28, and the chance is 27 out of 28, which is more than half.
a bag holds 18 red nuts and 2 blue nuts. drawing a red one is likely: 18 + 2 = 20, and the chance is 18 out of 20, which is more than half.
a bag holds 9 blue keys and 3 yellow keys. drawing a blue one is likely: 9 + 3 = 12, and the chance is 9 out of 12, which is more than half.
a bag holds 28 red keys and 2 blue keys. drawing a red one is likely: 28 + 2 = 30, and the chance is 28 out of 30, which is more than half.
a bag holds 19 blue stones and 3 yellow stones. drawing a blue one is likely: 19 + 3 = 22, and the chance is 19 out of 22, which is more than half.
a bag holds 3 blue nuts and 11 yellow nuts. drawing a blue one is unlikely: 3 + 11 = 14, and the chance is 3 out of 14, which is less than half.
a bag holds 3 yellow keys and 1 white key. drawing a yellow one is likely: 3 + 1 = 4, and the chance is 3 out of 4, which is more than half.
a bag holds 3 blue keys and 21 yellow keys. drawing a blue one is unlikely: 3 + 21 = 24, and the chance is 3 out of 24, which is less than half.
a bag holds 2 yellow stones and 14 white stones. drawing a yellow one is unlikely: 2 + 14 = 16, and the chance is 2 out of 16, which is less than half.
a bag holds 1 white ball and 7 black balls. drawing a white one is unlikely: 1 + 7 = 8, and the chance is 1 out of 8, which is less than half.
a bag holds 2 yellow balls and 24 white balls. drawing a yellow one is unlikely: 2 + 24 = 26, and the chance is 2 out of 26, which is less than half.
a bag holds 1 white nut and 17 black nuts. drawing a white one is unlikely: 1 + 17 = 18, and the chance is 1 out of 18, which is less than half.

a bag holds 13 black keys and 13 red keys. drawing a black one and drawing a red one are equally likely: 13 + 13 = 26, and the chance is 13 out of 26, which is exactly half.
a bag holds 8 black nuts and 8 red nuts. drawing a black one and drawing a red one are equally likely: 8 + 8 = 16, and the chance is 8 out of 16, which is exactly half.
a bag holds 3 red stones and 3 blue stones. drawing a red one and drawing a blue one are equally likely: 3 + 3 = 6, and the chance is 3 out of 6, which is exactly half.

в мешке 19 синих шаров и 1 жёлтых шар. вынуть синий скорее всего: 19 + 1 = 20, и вероятность есть 19 из 20, а это больше половины.
в мешке 3 белых ключа и 13 чёрных ключей. вынуть белый вряд ли: 3 + 13 = 16, и вероятность есть 3 из 16, а это меньше половины.
в мешке 9 синих камней и 1 жёлтых камень. вынуть синий скорее всего: 9 + 1 = 10, и вероятность есть 9 из 10, а это больше половины.
в мешке 1 белых орех и 5 чёрных орехов. вынуть белый вряд ли: 1 + 5 = 6, и вероятность есть 1 из 6, а это меньше половины.
в мешке 2 чёрных ореха и 26 красных орехов. вынуть чёрный вряд ли: 2 + 26 = 28, и вероятность есть 2 из 28, а это меньше половины.
в мешке 20 жёлтых ключей и 2 белых ключа. вынуть жёлтый скорее всего: 20 + 2 = 22, и вероятность есть 20 из 22, а это больше половины.
в мешке 2 чёрных шара и 16 красных шаров. вынуть чёрный вряд ли: 2 + 16 = 18, и вероятность есть 2 из 18, а это меньше половины.
в мешке 10 жёлтых орехов и 2 белых ореха. вынуть жёлтый скорее всего: 10 + 2 = 12, и вероятность есть 10 из 12, а это больше половины.
в мешке 2 чёрных камня и 6 красных камней. вынуть чёрный вряд ли: 2 + 6 = 8, и вероятность есть 2 из 8, а это меньше половины.
в мешке 1 красных камень и 29 синих камней. вынуть красный вряд ли: 1 + 29 = 30, и вероятность есть 1 из 30, а это меньше половины.
в мешке 21 белых шар и 3 чёрных шара. вынуть белый скорее всего: 21 + 3 = 24, и вероятность есть 21 из 24, а это больше половины.
в мешке 1 красных ключ и 19 синих ключей. вынуть красный вряд ли: 1 + 19 = 20, и вероятность есть 1 из 20, а это меньше половины.
в мешке 11 белых камней и 3 чёрных камня. вынуть белый скорее всего: 11 + 3 = 14, и вероятность есть 11 из 14, а это больше половины.
в мешке 1 красных орех и 9 синих орехов. вынуть красный вряд ли: 1 + 9 = 10, и вероятность есть 1 из 10, а это меньше половины.
в мешке 29 синих орехов и 1 жёлтых орех. вынуть синий скорее всего: 29 + 1 = 30, и вероятность есть 29 из 30, а это больше половины.
в мешке 3 белых камня и 23 чёрных камня. вынуть белый вряд ли: 3 + 23 = 26, и вероятность есть 3 из 26, а это меньше половины.

в мешке 4 синих ореха и 4 жёлтых ореха. вынуть синий и вынуть жёлтый равно возможно: 4 + 4 = 8, и вероятность есть 4 из 8, а это ровно половина.
в мешке 9 синих ключей и 9 жёлтых ключей. вынуть синий и вынуть жёлтый равно возможно: 9 + 9 = 18, и вероятность есть 9 из 18, а это ровно половина.
в мешке 14 синих камней и 14 жёлтых камней. вынуть синий и вынуть жёлтый равно возможно: 14 + 14 = 28, и вероятность есть 14 из 28, а это ровно половина.

a bag holds 19 blue balls and 1 yellow ball. drawing a blue one is likely: 19 + 1 = 20, and the chance is 19 out of 20, which is more than half.
a bag holds 3 white keys and 13 black keys. drawing a white one is unlikely: 3 + 13 = 16, and the chance is 3 out of 16, which is less than half.
a bag holds 9 blue stones and 1 yellow stone. drawing a blue one is likely: 9 + 1 = 10, and the chance is 9 out of 10, which is more than half.
a bag holds 1 white nut and 5 black nuts. drawing a white one is unlikely: 1 + 5 = 6, and the chance is 1 out of 6, which is less than half.
a bag holds 2 black nuts and 26 red nuts. drawing a black one is unlikely: 2 + 26 = 28, and the chance is 2 out of 28, which is less than half.
a bag holds 20 yellow keys and 2 white keys. drawing a yellow one is likely: 20 + 2 = 22, and the chance is 20 out of 22, which is more than half.
a bag holds 2 black balls and 16 red balls. drawing a black one is unlikely: 2 + 16 = 18, and the chance is 2 out of 18, which is less than half.
a bag holds 10 yellow nuts and 2 white nuts. drawing a yellow one is likely: 10 + 2 = 12, and the chance is 10 out of 12, which is more than half.
a bag holds 2 black stones and 6 red stones. drawing a black one is unlikely: 2 + 6 = 8, and the chance is 2 out of 8, which is less than half.
a bag holds 1 red stone and 29 blue stones. drawing a red one is unlikely: 1 + 29 = 30, and the chance is 1 out of 30, which is less than half.
a bag holds 21 white balls and 3 black balls. drawing a white one is likely: 21 + 3 = 24, and the chance is 21 out of 24, which is more than half.
a bag holds 1 red key and 19 blue keys. drawing a red one is unlikely: 1 + 19 = 20, and the chance is 1 out of 20, which is less than half.
a bag holds 11 white stones and 3 black stones. drawing a white one is likely: 11 + 3 = 14, and the chance is 11 out of 14, which is more than half.
a bag holds 1 red nut and 9 blue nuts. drawing a red one is unlikely: 1 + 9 = 10, and the chance is 1 out of 10, which is less than half.
a bag holds 29 blue nuts and 1 yellow nut. drawing a blue one is likely: 29 + 1 = 30, and the chance is 29 out of 30, which is more than half.
a bag holds 3 white stones and 23 black stones. drawing a white one is unlikely: 3 + 23 = 26, and the chance is 3 out of 26, which is less than half.

a bag holds 4 blue nuts and 4 yellow nuts. drawing a blue one and drawing a yellow one are equally likely: 4 + 4 = 8, and the chance is 4 out of 8, which is exactly half.
a bag holds 9 blue keys and 9 yellow keys. drawing a blue one and drawing a yellow one are equally likely: 9 + 9 = 18, and the chance is 9 out of 18, which is exactly half.
a bag holds 14 blue stones and 14 yellow stones. drawing a blue one and drawing a yellow one are equally likely: 14 + 14 = 28, and the chance is 14 out of 28, which is exactly half.

в мешке 11 белых шаров и 1 чёрных шар. вынуть белый скорее всего: 11 + 1 = 12, и вероятность есть 11 из 12, а это больше половины.
в мешке 13 красных шаров и 3 синих шара. вынуть красный скорее всего: 13 + 3 = 16, и вероятность есть 13 из 16, а это больше половины.
в мешке 2 синих ореха и 18 жёлтых орехов. вынуть синий вряд ли: 2 + 18 = 20, и вероятность есть 2 из 20, а это меньше половины.
в мешке 21 белых орех и 1 чёрных орех. вынуть белый скорее всего: 21 + 1 = 22, и вероятность есть 21 из 22, а это больше половины.
в мешке 23 красных ореха и 3 синих ореха. вынуть красный скорее всего: 23 + 3 = 26, и вероятность есть 23 из 26, а это больше половины.
в мешке 2 синих ключа и 28 жёлтых ключей. вынуть синий вряд ли: 2 + 28 = 30, и вероятность есть 2 из 30, а это меньше половины.
в мешке 3 красных ключа и 5 синих ключей. вынуть красный вряд ли: 3 + 5 = 8, и вероятность есть 3 из 8, а это меньше половины.
в мешке 1 жёлтых ключ и 11 белых ключей. вынуть жёлтый вряд ли: 1 + 11 = 12, и вероятность есть 1 из 12, а это меньше половины.
в мешке 12 чёрных ключей и 2 красных ключа. вынуть чёрный скорее всего: 12 + 2 = 14, и вероятность есть 12 из 14, а это больше половины.
в мешке 3 красных камня и 15 синих камней. вынуть красный вряд ли: 3 + 15 = 18, и вероятность есть 3 из 18, а это меньше половины.
в мешке 1 жёлтых камень и 21 белых камень. вынуть жёлтый вряд ли: 1 + 21 = 22, и вероятность есть 1 из 22, а это меньше половины.
в мешке 22 чёрных камня и 2 красных камня. вынуть чёрный скорее всего: 22 + 2 = 24, и вероятность есть 22 из 24, а это больше половины.
в мешке 3 красных шара и 25 синих шаров. вынуть красный вряд ли: 3 + 25 = 28, и вероятность есть 3 из 28, а это меньше половины.
в мешке 2 чёрных шара и 4 красных шара. вынуть чёрный вряд ли: 2 + 4 = 6, и вероятность есть 2 из 6, а это меньше половины.
в мешке 2 синих шара и 8 жёлтых шаров. вынуть синий вряд ли: 2 + 8 = 10, и вероятность есть 2 из 10, а это меньше половины.

в мешке 10 белых камней и 10 чёрных камней. вынуть белый и вынуть чёрный равно возможно: 10 + 10 = 20, и вероятность есть 10 из 20, а это ровно половина.
в мешке 5 белых ключей и 5 чёрных ключей. вынуть белый и вынуть чёрный равно возможно: 5 + 5 = 10, и вероятность есть 5 из 10, а это ровно половина.
в мешке 15 белых шаров и 15 чёрных шаров. вынуть белый и вынуть чёрный равно возможно: 15 + 15 = 30, и вероятность есть 15 из 30, а это ровно половина.

a bag holds 11 white balls and 1 black ball. drawing a white one is likely: 11 + 1 = 12, and the chance is 11 out of 12, which is more than half.
a bag holds 13 red balls and 3 blue balls. drawing a red one is likely: 13 + 3 = 16, and the chance is 13 out of 16, which is more than half.
a bag holds 2 blue nuts and 18 yellow nuts. drawing a blue one is unlikely: 2 + 18 = 20, and the chance is 2 out of 20, which is less than half.
a bag holds 21 white nuts and 1 black nut. drawing a white one is likely: 21 + 1 = 22, and the chance is 21 out of 22, which is more than half.
a bag holds 23 red nuts and 3 blue nuts. drawing a red one is likely: 23 + 3 = 26, and the chance is 23 out of 26, which is more than half.
a bag holds 2 blue keys and 28 yellow keys. drawing a blue one is unlikely: 2 + 28 = 30, and the chance is 2 out of 30, which is less than half.
a bag holds 3 red keys and 5 blue keys. drawing a red one is unlikely: 3 + 5 = 8, and the chance is 3 out of 8, which is less than half.
a bag holds 1 yellow key and 11 white keys. drawing a yellow one is unlikely: 1 + 11 = 12, and the chance is 1 out of 12, which is less than half.
a bag holds 12 black keys and 2 red keys. drawing a black one is likely: 12 + 2 = 14, and the chance is 12 out of 14, which is more than half.
a bag holds 3 red stones and 15 blue stones. drawing a red one is unlikely: 3 + 15 = 18, and the chance is 3 out of 18, which is less than half.
a bag holds 1 yellow stone and 21 white stones. drawing a yellow one is unlikely: 1 + 21 = 22, and the chance is 1 out of 22, which is less than half.
a bag holds 22 black stones and 2 red stones. drawing a black one is likely: 22 + 2 = 24, and the chance is 22 out of 24, which is more than half.
a bag holds 3 red balls and 25 blue balls. drawing a red one is unlikely: 3 + 25 = 28, and the chance is 3 out of 28, which is less than half.
a bag holds 2 black balls and 4 red balls. drawing a black one is unlikely: 2 + 4 = 6, and the chance is 2 out of 6, which is less than half.
a bag holds 2 blue balls and 8 yellow balls. drawing a blue one is unlikely: 2 + 8 = 10, and the chance is 2 out of 10, which is less than half.

a bag holds 10 white stones and 10 black stones. drawing a white one and drawing a black one are equally likely: 10 + 10 = 20, and the chance is 10 out of 20, which is exactly half.
a bag holds 5 white keys and 5 black keys. drawing a white one and drawing a black one are equally likely: 5 + 5 = 10, and the chance is 5 out of 10, which is exactly half.
a bag holds 15 white balls and 15 black balls. drawing a white one and drawing a black one are equally likely: 15 + 15 = 30, and the chance is 15 out of 30, which is exactly half.

в мешке 24 синих шара и 2 жёлтых шара. вынуть синий скорее всего: 24 + 2 = 26, и вероятность есть 24 из 26, а это больше половины.
в мешке 5 жёлтых шаров и 3 белых шара. вынуть жёлтый скорее всего: 5 + 3 = 8, и вероятность есть 5 из 8, а это больше половины.
в мешке 13 красных орехов и 1 синих орех. вынуть красный скорее всего: 13 + 1 = 14, и вероятность есть 13 из 14, а это больше половины.
в мешке 2 белых ключа и 20 чёрных ключей. вынуть белый вряд ли: 2 + 20 = 22, и вероятность есть 2 из 22, а это меньше половины.
в мешке 25 жёлтых ключей и 3 белых ключа. вынуть жёлтый скорее всего: 25 + 3 = 28, и вероятность есть 25 из 28, а это больше половины.
в мешке 3 жёлтых камня и 7 белых камней. вынуть жёлтый вряд ли: 3 + 7 = 10, и вероятность есть 3 из 10, а это меньше половины.
в мешке 14 синих камней и 2 жёлтых камня. вынуть синий скорее всего: 14 + 2 = 16, и вероятность есть 14 из 16, а это больше половины.
в мешке 1 чёрных шар и 23 красных шара. вынуть чёрный вряд ли: 1 + 23 = 24, и вероятность есть 1 из 24, а это меньше половины.
в мешке 3 жёлтых ореха и 27 белых орехов. вынуть жёлтый вряд ли: 3 + 27 = 30, и вероятность есть 3 из 30, а это меньше половины.
в мешке 2 белых ореха и 10 чёрных орехов. вынуть белый вряд ли: 2 + 10 = 12, и вероятность есть 2 из 12, а это меньше половины.
в мешке 15 жёлтых орехов и 3 белых ореха. вынуть жёлтый скорее всего: 15 + 3 = 18, и вероятность есть 15 из 18, а это больше половины.
в мешке 23 красных ключа и 1 синих ключ. вынуть красный скорее всего: 23 + 1 = 24, и вероятность есть 23 из 24, а это больше половины.
в мешке 4 синих ключа и 2 жёлтых ключа. вынуть синий скорее всего: 4 + 2 = 6, и вероятность есть 4 из 6, а это больше половины.
в мешке 1 чёрных камень и 13 красных камней. вынуть чёрный вряд ли: 1 + 13 = 14, и вероятность есть 1 из 14, а это меньше половины.
в мешке 3 жёлтых шара и 17 белых шаров. вынуть жёлтый вряд ли: 3 + 17 = 20, и вероятность есть 3 из 20, а это меньше половины.

в мешке 6 красных камней и 6 синих камней. вынуть красный и вынуть синий равно возможно: 6 + 6 = 12, и вероятность есть 6 из 12, а это ровно половина.
в мешке 11 красных шаров и 11 синих шаров. вынуть красный и вынуть синий равно возможно: 11 + 11 = 22, и вероятность есть 11 из 22, а это ровно половина.

a bag holds 24 blue balls and 2 yellow balls. drawing a blue one is likely: 24 + 2 = 26, and the chance is 24 out of 26, which is more than half.
a bag holds 5 yellow balls and 3 white balls. drawing a yellow one is likely: 5 + 3 = 8, and the chance is 5 out of 8, which is more than half.
a bag holds 13 red nuts and 1 blue nut. drawing a red one is likely: 13 + 1 = 14, and the chance is 13 out of 14, which is more than half.
a bag holds 2 white keys and 20 black keys. drawing a white one is unlikely: 2 + 20 = 22, and the chance is 2 out of 22, which is less than half.
a bag holds 25 yellow keys and 3 white keys. drawing a yellow one is likely: 25 + 3 = 28, and the chance is 25 out of 28, which is more than half.
a bag holds 3 yellow stones and 7 white stones. drawing a yellow one is unlikely: 3 + 7 = 10, and the chance is 3 out of 10, which is less than half.
a bag holds 14 blue stones and 2 yellow stones. drawing a blue one is likely: 14 + 2 = 16, and the chance is 14 out of 16, which is more than half.
a bag holds 1 black ball and 23 red balls. drawing a black one is unlikely: 1 + 23 = 24, and the chance is 1 out of 24, which is less than half.
a bag holds 3 yellow nuts and 27 white nuts. drawing a yellow one is unlikely: 3 + 27 = 30, and the chance is 3 out of 30, which is less than half.
a bag holds 2 white nuts and 10 black nuts. drawing a white one is unlikely: 2 + 10 = 12, and the chance is 2 out of 12, which is less than half.
a bag holds 15 yellow nuts and 3 white nuts. drawing a yellow one is likely: 15 + 3 = 18, and the chance is 15 out of 18, which is more than half.
a bag holds 23 red keys and 1 blue key. drawing a red one is likely: 23 + 1 = 24, and the chance is 23 out of 24, which is more than half.
a bag holds 4 blue keys and 2 yellow keys. drawing a blue one is likely: 4 + 2 = 6, and the chance is 4 out of 6, which is more than half.
a bag holds 1 black stone and 13 red stones. drawing a black one is unlikely: 1 + 13 = 14, and the chance is 1 out of 14, which is less than half.
a bag holds 3 yellow balls and 17 white balls. drawing a yellow one is unlikely: 3 + 17 = 20, and the chance is 3 out of 20, which is less than half.

a bag holds 6 red stones and 6 blue stones. drawing a red one and drawing a blue one are equally likely: 6 + 6 = 12, and the chance is 6 out of 12, which is exactly half.
a bag holds 11 red balls and 11 blue balls. drawing a red one and drawing a blue one are equally likely: 11 + 11 = 22, and the chance is 11 out of 22, which is exactly half.
