мир	генератор	через_слой	строк	различных	копий	макс_копий
datasets/genesis_physlaws.txt	gen_genesis_physlaws.py	1	840	520	320	2
datasets/genesis_price.txt	gen_genesis_price.py	1	378	378	0	1
datasets/genesis_primes_langs.txt	gen_genesis_primes_langs.py	1	400	400	0	1
datasets/genesis_programs.txt	gen_genesis_programs.py	1	784	565	219	2
datasets/genesis_pronouns.txt	gen_genesis_pronouns.py	1	480	480	0	1
datasets/genesis_proof.txt	gen_genesis_proof.py	1	520	297	223	2
datasets/genesis_propcompare.txt	gen_genesis_propcompare.py	1	200	200	0	1
datasets/genesis_rates.txt	gen_genesis_rates.py	1	667	624	43	2
datasets/genesis_realverbs.txt	gen_genesis_realverbs.py	1	240	196	44	2
datasets/genesis_relation.txt	gen_genesis_relation.py	1	2084	1418	666	2
datasets/genesis_relations_story.txt	gen_genesis_relations_story.py	1	1989	1815	174	2
datasets/genesis_remainders.txt	gen_genesis_remainders.py	1	248	164	84	2
datasets/genesis_remainders_langs.txt	gen_genesis_remainders_langs.py	1	320	320	0	1
datasets/genesis_reply.txt	gen_genesis_reply.py	1	54	54	0	1
datasets/genesis_rewrite.txt	gen_genesis_rewrite.py	1	144	144	0	1
datasets/genesis_roles.txt	gen_genesis_roles.py	1	135	135	0	1
datasets/genesis_ru_compare.txt	gen_genesis_ru_compare.py	1	168	146	22	2
datasets/genesis_ru_conversions.txt	gen_genesis_ru_conversions.py	1	68	59	9	2
datasets/genesis_ru_story.txt	gen_genesis_ru_story.py	1	109	97	12	2
datasets/genesis_ruverbs.txt	gen_genesis_ruverbs.py	1	355	310	45	2
datasets/genesis_scale.txt	gen_genesis_scale.py	1	747	747	0	1
datasets/genesis_search_langs.txt	gen_genesis_search_langs.py	1	1280	1280	0	1
datasets/genesis_selfmeasure.txt	gen_genesis_selfmeasure.py	1	59	31	28	2
datasets/genesis_sequences.txt	gen_genesis_sequences.py	1	2432	2064	368	2
datasets/genesis_sequences_langs.txt	gen_genesis_sequences_langs.py	1	320	320	0	1
datasets/genesis_share.txt	gen_genesis_share.py	1	976	712	264	2
datasets/genesis_share_langs.txt	gen_genesis_share_langs.py	1	560	432	128	2
datasets/genesis_shares_percent.txt	gen_genesis_shares_percent.py	1	1320	1287	33	2
datasets/genesis_space.txt	gen_genesis_space.py	1	2301	1761	540	2
datasets/genesis_speech.txt	gen_genesis_speech.py	1	1910	1390	520	2
datasets/genesis_statistics.txt	gen_genesis_statistics.py	1	1176	711	465	2
datasets/genesis_stats_langs.txt	gen_genesis_stats_langs.py	1	480	384	96	2
datasets/genesis_stenogram.txt	gen_genesis_stenogram.py	1	550	526	24	3
datasets/genesis_story.txt	gen_genesis_story.py	1	2686	2405	281	2
datasets/genesis_story_chain.txt	gen_genesis_story_chain.py	1	890	890	0	1
datasets/genesis_surfaces.txt	gen_genesis_surfaces.py	1	2200	1944	256	2
datasets/genesis_svamp.txt	gen_genesis_svamp.py	1	3416	3416	0	1
datasets/genesis_task.txt	gen_genesis_task.py	1	2196	2196	0	1
datasets/genesis_timeunits.txt	gen_genesis_timeunits.py	1	420	420	0	1
datasets/genesis_topics.txt	gen_genesis_topics.py	1	1104	1104	0	1
datasets/genesis_translate.txt	gen_genesis_translate.py	1	792	792	0	1
datasets/genesis_two_kinds.txt	gen_genesis_two_kinds.py	1	360	360	0	1
datasets/genesis_unit_counts.txt	gen_genesis_unit_counts.py	1	720	720	0	1
datasets/genesis_units.txt	gen_genesis_units.py	1	1218	1204	14	2
datasets/genesis_units_langs.txt	gen_genesis_units_langs.py	1	640	640	0	1
datasets/genesis_valence.txt	gen_genesis_valence.py	1	1256	1176	80	2
datasets/genesis_verbal.txt	gen_genesis_verbal.py	1	557	479	78	2
datasets/genesis_verbs.txt	gen_genesis_verbs.py	1	620	620	0	1
datasets/genesis_worldfacts.txt	gen_genesis_worldfacts.py	1	2779	2779	0	1
datasets/school_biling_v2c.txt	gen_genesis_school_biling_v2c.py	1	11380	6622	4758	2
datasets/school_ruler_dense.txt	gen_genesis_ruler_dense.py	1	637	378	259	2
