три дома в ряд. Клара правее Дмитрия. Елена правее Клары. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
three houses in a row. dmitri is not in the third. elena is not in the first. elena is not in the third. who lives where? in the first dmitri, in the second elena, in the third clara.
three houses in a row. clara is not in the second. clara is not in the third. elena is not in the second. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. clara is to the left of dmitri. dmitri is to the left of elena. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. elena is not in the third. clara is to the left of elena. who lives where? in the first clara, in the second elena, in the third dmitri.
three houses in a row. clara is not in the first. clara is to the left of dmitri. who lives where? in the first elena, in the second clara, in the third dmitri.
three houses in a row. clara is not in the second. elena is not in the second. elena is not in the third. who lives where? in the first elena, in the second dmitri, in the third clara.

три дома в ряд. Елена не в третьем. Дмитрий левее Елены. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.
три дома в ряд. Клара правее Елены. Дмитрий правее Клары. кто где живёт? в первом Елена, во втором Клара, в третьем Дмитрий.
три дома в ряд. Дмитрий правее Клары. Дмитрий левее Елены. кто где живёт? в первом Клара, во втором Дмитрий, в третьем Елена.
три дома в ряд. Елена правее Клары. Дмитрий левее Клары. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара левее Дмитрия. Елена левее Клары. кто где живёт? в первом Елена, во втором Клара, в третьем Дмитрий.
три дома в ряд. Клара не в первом. Клара не в втором. Дмитрий не в первом. кто где живёт? в первом Елена, во втором Дмитрий, в третьем Клара.
три дома в ряд. Клара не в первом. Клара не в третьем. Дмитрий не в третьем. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара не в первом. Елена не в первом. Елена не в втором. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара не в втором. Клара не в третьем. Елена не в третьем. кто где живёт? в первом Клара, во втором Елена, в третьем Дмитрий.
три дома в ряд. Клара не в третьем. Дмитрий не в первом. Дмитрий не в третьем. кто где живёт? в первом Клара, во втором Дмитрий, в третьем Елена.
три дома в ряд. Дмитрий не в первом. Дмитрий не в втором. Елена не в втором. кто где живёт? в первом Елена, во втором Клара, в третьем Дмитрий.
три дома в ряд. Дмитрий не в втором. Дмитрий не в третьем. Елена не в втором. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Дмитрий не в третьем. Елена не в втором. Елена не в третьем. кто где живёт? в первом Елена, во втором Дмитрий, в третьем Клара.
три дома в ряд. Клара не в первом. Клара левее Елены. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Дмитрий не в первом. Клара правее Дмитрия. кто где живёт? в первом Елена, во втором Дмитрий, в третьем Клара.
три дома в ряд. Дмитрий не в третьем. Дмитрий правее Елены. кто где живёт? в первом Елена, во втором Дмитрий, в третьем Клара.
три дома в ряд. Елена не в первом. Елена левее Клары. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.

three houses in a row. elena is not in the third. dmitri is to the left of elena. who lives where? in the first dmitri, in the second elena, in the third clara.
three houses in a row. clara is to the right of elena. dmitri is to the right of clara. who lives where? in the first elena, in the second clara, in the third dmitri.
three houses in a row. dmitri is to the right of clara. dmitri is to the left of elena. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. elena is to the right of clara. dmitri is to the left of clara. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is to the left of dmitri. elena is to the left of clara. who lives where? in the first elena, in the second clara, in the third dmitri.
three houses in a row. clara is not in the first. clara is not in the second. dmitri is not in the first. who lives where? in the first elena, in the second dmitri, in the third clara.
three houses in a row. clara is not in the first. clara is not in the third. dmitri is not in the third. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is not in the first. elena is not in the first. elena is not in the second. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is not in the second. clara is not in the third. elena is not in the third. who lives where? in the first clara, in the second elena, in the third dmitri.
three houses in a row. clara is not in the third. dmitri is not in the first. dmitri is not in the third. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. dmitri is not in the first. dmitri is not in the second. elena is not in the second. who lives where? in the first elena, in the second clara, in the third dmitri.
three houses in a row. dmitri is not in the second. dmitri is not in the third. elena is not in the second. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. dmitri is not in the third. elena is not in the second. elena is not in the third. who lives where? in the first elena, in the second dmitri, in the third clara.
three houses in a row. clara is not in the first. clara is to the left of elena. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. dmitri is not in the first. clara is to the right of dmitri. who lives where? in the first elena, in the second dmitri, in the third clara.
three houses in a row. dmitri is not in the third. dmitri is to the right of elena. who lives where? in the first elena, in the second dmitri, in the third clara.
three houses in a row. elena is not in the first. elena is to the left of clara. who lives where? in the first dmitri, in the second elena, in the third clara.

три дома в ряд. Клара не в втором. Дмитрий не в первом. Дмитрий не в втором. кто где живёт? в первом Клара, во втором Елена, в третьем Дмитрий.
три дома в ряд. Дмитрий не в втором. Дмитрий не в третьем. Елена не в третьем. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.
три дома в ряд. Дмитрий не в третьем. Клара левее Дмитрия. кто где живёт? в первом Клара, во втором Дмитрий, в третьем Елена.
три дома в ряд. Клара правее Елены. Елена правее Дмитрия. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.
три дома в ряд. Клара левее Елены. Дмитрий левее Клары. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара не в первом. Елена не в первом. Елена не в третьем. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.
три дома в ряд. Дмитрий не в первом. Дмитрий не в третьем. Елена не в первом. кто где живёт? в первом Клара, во втором Дмитрий, в третьем Елена.
три дома в ряд. Дмитрий не в первом. Елена правее Дмитрия. кто где живёт? в первом Клара, во втором Дмитрий, в третьем Елена.
три дома в ряд. Клара правее Дмитрия. Дмитрий правее Елены. кто где живёт? в первом Елена, во втором Дмитрий, в третьем Клара.
три дома в ряд. Елена правее Клары. Елена левее Дмитрия. кто где живёт? в первом Клара, во втором Елена, в третьем Дмитрий.
три дома в ряд. Клара не в первом. Клара не в третьем. Елена не в первом. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара не в третьем. Дмитрий не в втором. Дмитрий не в третьем. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Клара не в третьем. Клара правее Дмитрия. кто где живёт? в первом Дмитрий, во втором Клара, в третьем Елена.
три дома в ряд. Елена не в первом. Елена левее Дмитрия. кто где живёт? в первом Клара, во втором Елена, в третьем Дмитрий.
три дома в ряд. Дмитрий правее Клары. Елена левее Клары. кто где живёт? в первом Елена, во втором Клара, в третьем Дмитрий.
три дома в ряд. Клара не в первом. Клара не в втором. Дмитрий не в втором. кто где живёт? в первом Дмитрий, во втором Елена, в третьем Клара.

three houses in a row. clara is not in the second. dmitri is not in the first. dmitri is not in the second. who lives where? in the first clara, in the second elena, in the third dmitri.
three houses in a row. dmitri is not in the second. dmitri is not in the third. elena is not in the third. who lives where? in the first dmitri, in the second elena, in the third clara.
three houses in a row. dmitri is not in the third. clara is to the left of dmitri. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. clara is to the right of elena. elena is to the right of dmitri. who lives where? in the first dmitri, in the second elena, in the third clara.
three houses in a row. clara is to the left of elena. dmitri is to the left of clara. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is not in the first. elena is not in the first. elena is not in the third. who lives where? in the first dmitri, in the second elena, in the third clara.
three houses in a row. dmitri is not in the first. dmitri is not in the third. elena is not in the first. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. dmitri is not in the first. elena is to the right of dmitri. who lives where? in the first clara, in the second dmitri, in the third elena.
three houses in a row. clara is to the right of dmitri. dmitri is to the right of elena. who lives where? in the first elena, in the second dmitri, in the third clara.
three houses in a row. elena is to the right of clara. elena is to the left of dmitri. who lives where? in the first clara, in the second elena, in the third dmitri.
three houses in a row. clara is not in the first. clara is not in the third. elena is not in the first. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is not in the third. dmitri is not in the second. dmitri is not in the third. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. clara is not in the third. clara is to the right of dmitri. who lives where? in the first dmitri, in the second clara, in the third elena.
three houses in a row. elena is not in the first. elena is to the left of dmitri. who lives where? in the first clara, in the second elena, in the third dmitri.
three houses in a row. dmitri is to the right of clara. elena is to the left of clara. who lives where? in the first elena, in the second clara, in the third dmitri.
three houses in a row. clara is not in the first. clara is not in the second. dmitri is not in the second. who lives where? in the first dmitri, in the second elena, in the third clara.
