символ	письмо	регистр	имя_en	имя_ru	сетка
е	cyrillic	small	the small Cyrillic letter е	строчная русская буква е	_____/_____/_###_/#___#/#####/#____/_###_
ё	cyrillic	small	the small Cyrillic letter ё	строчная русская буква ё	_#_#_/_____/_###_/#___#/#####/#____/_###_
ж	cyrillic	small	the small Cyrillic letter ж	строчная русская буква ж	_____/_____/#_#_#/_###_/__#__/_###_/#_#_#
з	cyrillic	small	the small Cyrillic letter з	строчная русская буква з	_____/_____/####_/____#/_###_/____#/####_
и	cyrillic	small	the small Cyrillic letter и	строчная русская буква и	_____/_____/#___#/#__##/#_#_#/##__#/#___#
й	cyrillic	small	the small Cyrillic letter й	строчная русская буква й	_#_#_/__#__/#___#/#__##/#_#_#/##__#/#___#
к	cyrillic	small	the small Cyrillic letter к	строчная русская буква к	_____/_____/#__#_/#_#__/##___/#_#__/#__#_
л	cyrillic	small	the small Cyrillic letter л	строчная русская буква л	_____/_____/__###/_#__#/_#__#/_#__#/#___#
м	cyrillic	small	the small Cyrillic letter м	строчная русская буква м	_____/_____/#___#/##_##/#_#_#/#___#/#___#
н	cyrillic	small	the small Cyrillic letter н	строчная русская буква н	_____/_____/#___#/#___#/#####/#___#/#___#
о	cyrillic	small	the small Cyrillic letter о	строчная русская буква о	_____/_____/_###_/#___#/#___#/#___#/_###_
п	cyrillic	small	the small Cyrillic letter п	строчная русская буква п	_____/_____/#####/#___#/#___#/#___#/#___#
р	cyrillic	small	the small Cyrillic letter р	строчная русская буква р	_____/_____/####_/#___#/####_/#____/#____
с	cyrillic	small	the small Cyrillic letter с	строчная русская буква с	_____/_____/_###_/#____/#____/#___#/_###_
т	cyrillic	small	the small Cyrillic letter т	строчная русская буква т	_____/_____/#####/__#__/__#__/__#__/__#__
у	cyrillic	small	the small Cyrillic letter у	строчная русская буква у	_____/_____/#___#/#___#/_####/____#/_###_
ф	cyrillic	small	the small Cyrillic letter ф	строчная русская буква ф	__#__/_###_/#_#_#/#_#_#/_###_/__#__/__#__
х	cyrillic	small	the small Cyrillic letter х	строчная русская буква х	_____/_____/#___#/_#_#_/__#__/_#_#_/#___#
ц	cyrillic	small	the small Cyrillic letter ц	строчная русская буква ц	_____/_____/#__#_/#__#_/#__#_/#####/____#
ч	cyrillic	small	the small Cyrillic letter ч	строчная русская буква ч	_____/_____/#___#/#___#/_####/____#/____#
ш	cyrillic	small	the small Cyrillic letter ш	строчная русская буква ш	_____/_____/#_#_#/#_#_#/#_#_#/#_#_#/#####
щ	cyrillic	small	the small Cyrillic letter щ	строчная русская буква щ	_____/_____/#_#_#/#_#_#/#_#_#/#####/____#
ъ	cyrillic	small	the small Cyrillic letter ъ	строчная русская буква ъ	_____/_____/##___/_#___/_###_/_#__#/_###_
ы	cyrillic	small	the small Cyrillic letter ы	строчная русская буква ы	_____/_____/#___#/#___#/##__#/#_#_#/##__#
ь	cyrillic	small	the small Cyrillic letter ь	строчная русская буква ь	_____/_____/#____/#____/####_/#___#/####_
э	cyrillic	small	the small Cyrillic letter э	строчная русская буква э	_____/_____/####_/____#/__###/____#/####_
ю	cyrillic	small	the small Cyrillic letter ю	строчная русская буква ю	_____/_____/#_##_/#_#_#/###_#/#_#_#/#_##_
я	cyrillic	small	the small Cyrillic letter я	строчная русская буква я	_____/_____/_####/#___#/_####/_#__#/#___#
0	digit	-	the digit 0	цифра 0	_###_/#___#/#__##/#_#_#/##__#/#___#/_###_
1	digit	-	the digit 1	цифра 1	__#__/_##__/__#__/__#__/__#__/__#__/_###_
2	digit	-	the digit 2	цифра 2	_###_/#___#/____#/___#_/__#__/_#___/#####
3	digit	-	the digit 3	цифра 3	#####/___#_/__#__/___#_/____#/#___#/_###_
4	digit	-	the digit 4	цифра 4	___#_/__##_/_#_#_/#__#_/#####/___#_/___#_
5	digit	-	the digit 5	цифра 5	#####/#____/####_/____#/____#/#___#/_###_
6	digit	-	the digit 6	цифра 6	__##_/_#___/#____/####_/#___#/#___#/_###_
7	digit	-	the digit 7	цифра 7	#####/____#/___#_/__#__/_#___/_#___/_#___
8	digit	-	the digit 8	цифра 8	_###_/#___#/#___#/_###_/#___#/#___#/_###_
9	digit	-	the digit 9	цифра 9	_###_/#___#/#___#/_####/____#/___#_/_##__
+	sign	-	the sign +	знак +	_____/__#__/__#__/#####/__#__/__#__/_____
−	sign	-	the sign −	знак −	_____/_____/_____/#####/_____/_____/_____
×	sign	-	the sign ×	знак ×	_____/#___#/_#_#_/__#__/_#_#_/#___#/_____
÷	sign	-	the sign ÷	знак ÷	_____/__#__/_____/#####/_____/__#__/_____
=	sign	-	the sign =	знак =	_____/_____/#####/_____/#####/_____/_____
<	sign	-	the sign <	знак <	___#_/__#__/_#___/#____/_#___/__#__/___#_
>	sign	-	the sign >	знак >	_#___/__#__/___#_/____#/___#_/__#__/_#___
(	sign	-	the left parenthesis	левая скобка	___#_/__#__/_#___/_#___/_#___/__#__/___#_
)	sign	-	the right parenthesis	правая скобка	_#___/__#__/___#_/___#_/___#_/__#__/_#___
.	sign	-	the full stop	точка	_____/_____/_____/_____/_____/_##__/_##__
,	sign	-	the comma	запятая	_____/_____/_____/_____/_##__/__#__/_#___
:	sign	-	the colon	двоеточие	_____/_##__/_##__/_____/_##__/_##__/_____
;	sign	-	the semicolon	точка с запятой	_____/_##__/_##__/_____/_##__/__#__/_#___
?	sign	-	the question mark	вопросительный знак	_###_/#___#/____#/___#_/__#__/_____/__#__
!	sign	-	the exclamation mark	восклицательный знак	__#__/__#__/__#__/__#__/__#__/_____/__#__
/	sign	-	the slash	косая черта	____#/___#_/___#_/__#__/_#___/_#___/#____
%	sign	-	the percent sign	знак процента	##___/##__#/___#_/__#__/_#___/#__##/___##
␠	sign	-	the space	пробел	_____/_____/_____/_____/_____/_____/_____
